Kevin Powell;72;TongaRegion3;5
Samuel Lee;69;SeychellesRegion4;4
Edward Prince;42;HondurasRegion1;5
Lauren Blevins;91;ReunionRegion3;5
Brenda Lewis;202;MozambiqueRegion3;2
Katie Baker;217;MauritaniaRegion5;4
Donna Smith;188;IsraelRegion1;5
Michelle Nguyen;137;New ZealandRegion3;1
Sherry Perez;206;UruguayRegion3;3
Jessica Brown;202;AlgeriaRegion5;4
Joshua Potts;28;LatviaRegion5;1
Penny Vargas;233;MontserratRegion2;3
Ryan Davis;158;AngolaRegion4;3
Samantha Sullivan;142;French PolynesiaRegion3;3
Jennifer Frazier;169;French GuianaRegion2;3
Abigail Good;28;LesothoRegion3;4
Nicole Russell;10;BahamasRegion5;2
Amanda Smith;168;Libyan Arab JamahiriyaRegion1;3
Amber Woods;159;MongoliaRegion5;3
Sarah Guerra;22;MauritaniaRegion2;5
Pamela Mcneil;170;IndiaRegion2;4
Karen Smith;215;AndorraRegion4;3
Samuel Boyd;43;TajikistanRegion5;5
Keith Osborn;84;Russian FederationRegion4;4
Jaime Nelson;227;NigeriaRegion3;5
Christina Hicks;97;Christmas IslandRegion1;1
Marvin Strickland;99;Costa RicaRegion4;4
Marissa Mitchell;151;South AfricaRegion4;2
Jessica Clark;158;EstoniaRegion3;5
Nicholas Gill;26;BrazilRegion4;4
Patricia Gutierrez;72;VenezuelaRegion2;1
Benjamin Goodwin;121;TaiwanRegion4;2
Jamie Smith;131;United KingdomRegion2;2
Samantha Spencer;57;Libyan Arab JamahiriyaRegion2;1
Ms. Elizabeth Perez;157;BahamasRegion1;2
Mrs. Joyce Hernandez;120;South Georgia and the South Sandwich IslandsRegion1;1
Cameron Baker;216;AustraliaRegion1;4
Andrea Thompson;186;GermanyRegion1;3
Marie Torres;32;AzerbaijanRegion4;2
Jacqueline Manning;40;AngolaRegion5;3
Aimee Cannon;9;Equatorial GuineaRegion5;5
Christian Gonzales;126;GreeceRegion3;5
Michelle Price;93;NamibiaRegion1;2
Nancy Sandoval;24;MexicoRegion1;5
Dr. Cory Wade;59;Northern Mariana IslandsRegion4;1
Isaiah Woodard;164;GermanyRegion5;5
William Holder;59;Palestinian TerritoryRegion5;1
Katelyn Joyce;104;Christmas IslandRegion3;3
Heather Sloan;26;AngolaRegion5;2
Tyler Prince;127;Sri LankaRegion3;4
Stephen Baldwin;54;PanamaRegion3;4
Rebecca Martin;31;MaltaRegion2;2
Christine Huynh;181;SloveniaRegion4;3
Charlene Bell;193;British Indian Ocean Territory (Chagos Archipelago)Region1;5
Lori Mcdonald;167;MoldovaRegion5;5
Lori Reynolds;89;CongoRegion5;1
Joanna Jackson;149;United Arab EmiratesRegion5;4
Matthew Davis;208;KiribatiRegion1;1
Brian Arias;100;TurkmenistanRegion1;3
Lisa Hill;42;GhanaRegion1;2
Theresa Smith;19;El SalvadorRegion4;5
Stephanie Price;63;AlbaniaRegion1;1
Brandon Baker;196;ChileRegion4;4
Michele Zimmerman;82;AndorraRegion2;5
Morgan Sanchez;8;BelarusRegion1;2
Jessica Thomas;41;Brunei DarussalamRegion1;1
Dennis Martinez;177;Trinidad and TobagoRegion4;4
Sergio Campbell;55;PalauRegion2;5
Darren Ramirez;213;Palestinian TerritoryRegion1;2
Roberta Oneill;42;IranRegion2;3
Sarah Berry;202;PeruRegion1;4
Amanda Stevens;213;FinlandRegion5;5
Kristina King;124;United Arab EmiratesRegion3;5
Lisa Dennis;229;LiechtensteinRegion1;4
Jennifer Simmons;225;PolandRegion3;4
Zachary Jacobson;52;FinlandRegion1;3
Jason Stephens;167;Saint MartinRegion1;4
Brandi Kelly;113;GuernseyRegion4;5
Kim Jenkins;116;ChadRegion5;5
Dustin Montoya;92;KiribatiRegion4;2
Edwin Nelson;9;TogoRegion5;5
Tyler Martinez;203;ParaguayRegion3;2
Daniel Chavez;64;MoroccoRegion5;4
Nicholas Hopkins;207;TanzaniaRegion4;1
Austin Jordan;26;MauritiusRegion3;1
Cynthia Peterson;43;BangladeshRegion2;1
Michelle Phillips;174;ZimbabweRegion3;3
Natalie Underwood;62;PalauRegion1;3
Timothy Fletcher;22;JapanRegion2;3
Thomas Price;198;UruguayRegion2;3
Steven Lane;146;KuwaitRegion1;4
John Bell;167;LebanonRegion1;3
Corey Little;190;CanadaRegion2;4
Mr. Joseph Hartman;170;CyprusRegion5;2
Mark Thomas;73;Sri LankaRegion1;2
Ryan Mathis;27;DjiboutiRegion3;5
Maria Miranda;33;French PolynesiaRegion2;4
Joseph Rivera;232;MaliRegion4;2
Valerie Gillespie;197;UgandaRegion2;4
Cynthia Gonzales;102;MauritiusRegion5;5
Alexander Cooper;219;Sri LankaRegion4;2
Jacob Jenkins;192;United States of AmericaRegion1;2
Kimberly Bruce;83;LatviaRegion2;5
Kristen Chen;136;Marshall IslandsRegion5;2
Charles Hodge;34;AlgeriaRegion4;3
Jermaine Kelley;130;AngolaRegion1;5
Kathleen Thomas;5;JamaicaRegion2;1
Bryan Roach;79;ParaguayRegion4;3
Zachary Zhang;95;Costa RicaRegion2;1
Richard Walker;103;United States Virgin IslandsRegion5;2
Nathan Pierce;204;ItalyRegion2;5
Laurie Leach;65;United States Minor Outlying IslandsRegion3;2
Phyllis Phillips;26;AustraliaRegion1;5
Regina Morgan;203;CambodiaRegion3;1
Willie Williams;192;Western SaharaRegion5;3
Katie Caldwell;178;TajikistanRegion1;5
Gina Black;88;TanzaniaRegion1;5
Audrey Webb;53;UkraineRegion1;4
Maria Murray;176;Western SaharaRegion4;3
Charles Blake;126;IrelandRegion5;2
Daniel Webb;78;EritreaRegion3;4
Jamie Johnson;148;ArgentinaRegion4;4
Judy Johnson;92;MozambiqueRegion5;1
Leslie Thomas;19;American SamoaRegion3;4
Taylor Callahan;84;MaliRegion2;5
Phillip Blackwell;34;TaiwanRegion1;5
Carlos Delgado;19;TurkmenistanRegion4;1
Jonathan Hamilton;237;BrazilRegion2;2
Mindy Schwartz;3;EgyptRegion1;4
Anne Preston;208;PeruRegion4;2
Lisa White;70;PakistanRegion2;3
Jon Hammond;165;GreeceRegion3;4
Joseph Vaughn;4;SwedenRegion3;2
Emily Baker;126;UzbekistanRegion5;3
Kimberly Dunn;71;New CaledoniaRegion4;2
Justin Snyder;116;OmanRegion4;5
Brittany Schneider;114;Antigua and BarbudaRegion4;3
Emily Greer;71;New CaledoniaRegion2;3
Janet Reese;20;IraqRegion1;2
Amanda Phillips;199;SwitzerlandRegion2;4
Lori Franklin;91;EritreaRegion2;3
Nathan Wilcox;18;HondurasRegion4;2
Aaron Martinez;238;Guinea-BissauRegion1;5
Hannah Haynes;56;LatviaRegion1;4
James Delgado;37;French GuianaRegion3;2
Amber Morales;190;MalawiRegion3;3
Kelly Mcdonald;195;UruguayRegion2;2
Dr. Samuel Turner;27;New ZealandRegion5;3
Douglas Soto;202;MongoliaRegion3;2
Michael Wright;157;Faroe IslandsRegion5;3
Casey Soto;166;JerseyRegion5;1
Jill Carson;79;Netherlands AntillesRegion3;5
David Baxter;58;PakistanRegion4;2
Kristen Walker;45;MayotteRegion4;3
Amber Woodward;145;Bouvet Island (Bouvetoya)Region3;1
Jermaine Costa;46;MaliRegion4;3
William Simpson;184;EstoniaRegion4;3
James Holt;222;DenmarkRegion5;2
David Carlson;163;SurinameRegion3;4
Jennifer Wilson;79;Western SaharaRegion3;3
Victor Guerrero;139;LiberiaRegion4;4
Michele Andrade;202;MoldovaRegion5;5
Stephen Rogers;106;Marshall IslandsRegion3;4
Ryan Velasquez;231;Saint LuciaRegion1;2
Bruce Thompson;16;JapanRegion2;2
Tony Woods;84;French PolynesiaRegion2;5
Jessica Prince;169;ReunionRegion5;2
Kevin Trevino;65;AndorraRegion3;5
Valerie Taylor;210;LiechtensteinRegion5;2
Richard Johnson;11;Saint Kitts and NevisRegion1;4
Brandi Dougherty;125;JordanRegion3;5
James Wilson;168;Saint HelenaRegion4;1
Hannah White MD;219;CongoRegion2;4
Stuart Fischer;95;RwandaRegion3;4
Kevin Young;81;FijiRegion3;4
Julie Bishop;169;MoldovaRegion1;2
Harold Pena;170;LatviaRegion2;4
Julie Campbell;10;BelizeRegion3;4
Jenna Daniels;138;Palestinian TerritoryRegion1;5
Daniel Gordon;186;BelarusRegion5;2
Carl Vasquez;189;TajikistanRegion2;5
Lucas Jones;20;Pitcairn IslandsRegion3;1
Jason Melton;153;KazakhstanRegion3;1
Kimberly Ramsey;184;SpainRegion2;3
Ashley Cannon;104;MongoliaRegion4;3
Mr. Steven Rivera;152;JapanRegion4;1
Wesley Hudson;68;MartiniqueRegion5;3
James Anderson;202;BrazilRegion5;4
Christopher Brown;170;BulgariaRegion2;1
Jordan Cobb;88;GuyanaRegion1;3
Sherri Robinson;80;ArmeniaRegion3;3
Brady Burton;180;GreeceRegion4;3
Betty Allen;47;KoreaRegion5;2
Derrick Johnson;199;DominicaRegion1;1
Natasha Oconnor;166;ReunionRegion1;4
Ryan Jones;141;PortugalRegion4;3
Marcus Perez;131;AlgeriaRegion3;1
Christopher Arnold;162;LithuaniaRegion4;2
Patricia Rodgers;166;TokelauRegion3;2
James Hernandez;2;American SamoaRegion1;4
Johnny Johnson;156;BulgariaRegion5;5
Justin Fisher;27;DenmarkRegion2;4
Michael Osborn;51;LuxembourgRegion5;4
Catherine Roberts;5;Cocos (Keeling) IslandsRegion3;3
Becky Nguyen;15;MoroccoRegion5;4
David Brown;158;ReunionRegion5;4
Maria Flores PhD;131;United KingdomRegion3;3
Victoria Young;34;GuamRegion2;3
Mrs. Melissa Medina MD;95;UgandaRegion1;5
Kenneth Nicholson;131;Solomon IslandsRegion1;3
Richard Nicholson;75;BelarusRegion4;2
Eric Terry;103;MonacoRegion1;4
Thomas Orozco;7;BelgiumRegion4;5
Michael Mahoney;30;TokelauRegion1;4
Mark Walker;159;SwitzerlandRegion1;4
Lisa Cooper;169;UgandaRegion1;2
Christopher Griffith;224;YemenRegion3;1
Terrance Mcgrath;73;United States Minor Outlying IslandsRegion2;4
Bobby Parks;234;AfghanistanRegion4;1
David Conner;31;EcuadorRegion1;5
Lisa Conway;27;TuvaluRegion1;1
Jacob Edwards;12;British Indian Ocean Territory (Chagos Archipelago)Region2;1
Rebecca Terrell;161;Puerto RicoRegion1;4
John Perez;210;Solomon IslandsRegion5;4
Samuel Cox;154;EcuadorRegion2;4
Kyle Chapman;203;United Arab EmiratesRegion3;1
Karen Taylor;209;SloveniaRegion2;2
Dean Wilson;184;Timor-LesteRegion3;5
Sean Rodriguez;26;Falkland Islands (Malvinas)Region1;1
Tara Wiggins;116;ZimbabweRegion4;3
Arthur Gill;200;TanzaniaRegion2;4
Joshua Crawford;10;KazakhstanRegion2;5
Stacey Lopez;153;Burkina FasoRegion1;3
Joseph Davis;69;UruguayRegion2;5
Timothy Graves;51;EstoniaRegion1;5
Stephanie Wilson;27;ItalyRegion2;5
Melissa Martinez;12;MyanmarRegion4;1
Tom Kirk;23;AndorraRegion2;1
Alexis Yu;128;MacaoRegion1;5
Isaac Hodges;27;NicaraguaRegion3;3
Angela Duarte;165;BotswanaRegion1;3
Lance Floyd;219;QatarRegion5;2
Ashley Aguilar;113;El SalvadorRegion1;5
Robert Jones;68;Cape VerdeRegion5;3
Michelle Koch;77;VenezuelaRegion2;1
Mrs. Erica Lopez;229;AlbaniaRegion4;5
Mark Cruz;201;SudanRegion5;1
Raymond Pearson;171;NauruRegion1;1
Heather Martinez;122;CanadaRegion5;2
Vicki Dunn;183;ParaguayRegion3;1
Jill Carter;30;SudanRegion4;2
Haley Dunn;112;AfghanistanRegion3;5
Michael Davenport;18;BoliviaRegion4;2
Cristina Ryan;62;Kyrgyz RepublicRegion5;4
Michael Mcpherson;65;PakistanRegion5;3
Daniel Perry;135;BelgiumRegion1;5
Phillip Russell;182;LiechtensteinRegion3;1
Nathaniel Jordan;87;MaltaRegion3;3
Keith Bailey;196;MoroccoRegion1;1
Amber Cox;27;MartiniqueRegion4;2
Emily Allen;86;Libyan Arab JamahiriyaRegion2;1
Ronald Byrd;148;GrenadaRegion2;3
Adam Odonnell;70;BelgiumRegion3;5
Kelly Soto;213;Sri LankaRegion4;3
Andrew Garrison;18;MongoliaRegion1;1
Michelle Russell;227;HondurasRegion1;3
Michael Murray;43;GermanyRegion3;1
Brandy Mckinney;178;JapanRegion4;2
Craig Perez;46;EcuadorRegion1;4
Tonya Brown;168;EgyptRegion3;5
David Contreras;35;VenezuelaRegion5;2
Amy Hawkins;139;ChileRegion5;4
Jaime Jackson;130;AnguillaRegion5;5
Randy Lucero;128;Turks and Caicos IslandsRegion1;4
Michael Maldonado;113;French GuianaRegion3;4
Amanda Hickman;216;Solomon IslandsRegion4;4
Benjamin Burton;187;GermanyRegion1;2
John Shaw;147;MozambiqueRegion3;2
Jeffrey Davis;228;PeruRegion1;4
Heather Brown;9;Saudi ArabiaRegion3;4
Barbara Hall DDS;229;GuineaRegion5;1
Johnathan Clark;32;British Virgin IslandsRegion2;2
Laura Wong;62;IcelandRegion4;3
Derrick Hernandez;89;Burkina FasoRegion3;3
Karen Vargas;43;Libyan Arab JamahiriyaRegion5;5
Nancy Esparza;132;JapanRegion5;4
Gordon Martin;184;AnguillaRegion5;2
Justin Craig;29;SerbiaRegion5;1
Miss Kelly Bradley;210;British Indian Ocean Territory (Chagos Archipelago)Region4;3
Kevin Garcia;224;BangladeshRegion3;5
Angelica Carter;234;PanamaRegion1;1
Jesse Ramirez;48;Syrian Arab RepublicRegion5;3
Gabrielle Santana;70;SpainRegion2;3
David Williams;28;JapanRegion1;3
Cynthia Allen;194;Pitcairn IslandsRegion1;1
Richard Nicholson;222;JapanRegion4;2
Keith Brown;198;Saint Kitts and NevisRegion3;4
Justin Everett;54;GabonRegion3;2
James Harris;217;Russian FederationRegion2;2
Kenneth Melton;24;MexicoRegion2;3
Richard Casey;46;Saint Kitts and NevisRegion4;3
Larry Lopez;172;Cote d'IvoireRegion3;4
James Goodman;172;LesothoRegion4;2
David Barber;151;United States of AmericaRegion2;4
Jamie Wagner;123;BulgariaRegion3;4
Sarah Martinez;58;ZimbabweRegion1;5
James Hernandez;113;TokelauRegion5;2
Sarah Hawkins;67;GuatemalaRegion5;4
Wendy Mccormick;82;Kyrgyz RepublicRegion1;5
Terry Waters;56;Saint BarthelemyRegion2;4
James Parker;19;Saudi ArabiaRegion3;2
Richard Rice;165;JapanRegion5;5
Amanda Kirk;239;ParaguayRegion5;1
Lauren Hall;99;JerseyRegion2;3
Jennifer Hill;70;ColombiaRegion3;2
Erin Pierce;203;ChileRegion1;1
Nancy Morales;103;BelarusRegion1;1
William Campos;85;TuvaluRegion1;1
Nicholas Moreno;182;Timor-LesteRegion4;4
Michael Butler;146;GabonRegion4;5
Adam Gallegos;194;Saudi ArabiaRegion3;2
Cindy Douglas;196;SudanRegion3;5
Lisa Martinez;212;RwandaRegion1;1
Daniel Alexander;227;HaitiRegion3;1
Sandra Melendez;29;SurinameRegion1;3
Kathy Thompson;17;San MarinoRegion5;4
Jennifer Marshall;224;Kyrgyz RepublicRegion4;1
Amanda Harrell;36;JordanRegion2;5
Claire Boyer;147;ChadRegion2;3
Marie Brown;152;DominicaRegion5;2
Ann Clark;211;GeorgiaRegion2;2
Matthew Taylor;148;EstoniaRegion2;4
Thomas Davidson;18;NigerRegion4;5
Tamara English;126;BelarusRegion5;3
Alexander Malone;145;UruguayRegion1;4
Virginia Andrews;30;LiechtensteinRegion5;3
Michael Shelton;11;TuvaluRegion4;1
Linda Ortiz;132;SwazilandRegion3;4
Kelly Walters;162;SwedenRegion2;2
Angela Trujillo;43;MonacoRegion4;1
Sydney Lewis;88;VenezuelaRegion1;2
Brian Castillo;51;British Indian Ocean Territory (Chagos Archipelago)Region1;2
Brandon Pacheco;63;Cape VerdeRegion5;2
Willie Kim;12;CameroonRegion4;3
Teresa Crawford;113;Faroe IslandsRegion3;3
Chad Stephenson;149;PakistanRegion3;2
Charles Warren;26;BarbadosRegion5;2
Leslie Morgan;23;CroatiaRegion2;1
Kenneth Carpenter;21;Bouvet Island (Bouvetoya)Region3;4
Alexander Cruz;117;MontenegroRegion4;1
Michael Cooper;117;MoroccoRegion4;4
Joshua Williams;51;SamoaRegion5;2
Robert Avery;74;New CaledoniaRegion5;4
Tracey Quinn;175;MicronesiaRegion1;2
Shannon Kennedy;168;AfghanistanRegion2;4
Austin Nichols;190;VanuatuRegion2;5
Johnny Hernandez PhD;92;LesothoRegion2;4
Jeffery Armstrong;186;UgandaRegion3;4
David Scott;197;DominicaRegion5;1
Christine Smith;44;FinlandRegion2;1
Andrew Edwards;238;Equatorial GuineaRegion2;4
Gary Johnson;164;IrelandRegion5;2
Amanda Carter;146;ThailandRegion4;5
Dakota Foster;167;American SamoaRegion5;1
Chelsea Briggs;52;ReunionRegion1;5
Stephanie Shelton;96;GreenlandRegion4;3
Veronica Thomas;232;GreenlandRegion1;3
Jake Bell;6;PhilippinesRegion4;3
Alvin Larsen;196;HungaryRegion4;5
Michael Cook;33;TokelauRegion1;4
Paul Gonzalez;91;United States Minor Outlying IslandsRegion1;1
Gabrielle Hansen;228;Norfolk IslandRegion2;1
Terry Wade;115;MalaysiaRegion2;5
Felicia Kennedy;52;MacaoRegion1;5
Nichole Larson;199;NepalRegion5;5
Adam Chambers;82;CongoRegion1;5
Michael Brown;191;TokelauRegion2;5
Craig Ray;203;YemenRegion2;4
Lisa Richardson;205;MontenegroRegion3;3
Paige King;64;ZambiaRegion1;2
John Nichols;176;NorwayRegion3;1
David Patel;208;MaldivesRegion3;3
Donald Lopez;188;LiechtensteinRegion1;4
Derrick Cook;37;United States of AmericaRegion1;4
Ryan Robinson;191;American SamoaRegion4;3
Michelle Johnson;186;JordanRegion1;4
Michelle Mcfarland;129;MaltaRegion4;1
Katherine Torres;11;LithuaniaRegion1;3
Michelle Watson;172;SeychellesRegion4;1
Sarah Barrera;64;BhutanRegion3;1
Rebecca Meyer;208;MartiniqueRegion4;2
Carrie Gonzales;69;Timor-LesteRegion4;1
Angela Bass;118;TunisiaRegion2;4
Brett Mcneil;178;Dominican RepublicRegion4;1
Nicole Johnson;56;BelarusRegion3;2
John Rodriguez;209;BelarusRegion2;1
Nathan Murray;28;Svalbard & Jan Mayen IslandsRegion1;1
Rose Harper;170;RomaniaRegion5;4
Annette Hernandez;74;MongoliaRegion1;1
Ashley Buchanan;202;UkraineRegion3;3
Jim Scott;65;AlgeriaRegion2;1
David Baker;85;SerbiaRegion3;1
Kathleen Oconnor;169;Antarctica (the territory South of 60 deg S)Region1;5
Diane White;140;FijiRegion2;1
Theresa Henry;55;Antarctica (the territory South of 60 deg S)Region3;4
Joanna Green;112;DenmarkRegion4;4
Dana Hancock;98;Wallis and FutunaRegion1;5
Robert Petersen;139;Kyrgyz RepublicRegion4;1
Chad Humphrey;183;CongoRegion3;3
Justin Alvarado;15;Syrian Arab RepublicRegion3;1
Travis Price;171;BeninRegion4;1
Matthew Wolf;207;GambiaRegion5;1
Anthony Franco;46;VenezuelaRegion2;1
Eric Mcfarland;131;CambodiaRegion3;4
Jennifer Cooper;167;Saint Pierre and MiquelonRegion3;3
Paul Taylor;239;Papua New GuineaRegion2;3
Richard Hernandez;90;Brunei DarussalamRegion1;4
Denise Pierce;179;New CaledoniaRegion4;5
Debra Baker;225;Bouvet Island (Bouvetoya)Region5;2
Cindy Warner;103;ColombiaRegion2;1
Debbie Martinez;184;FijiRegion2;1
David Potter;214;GuadeloupeRegion3;4
Heather Nelson;88;Central African RepublicRegion1;4
April Roth;198;BahamasRegion1;1
Richard Brown;151;Saint Kitts and NevisRegion5;3
Teresa Guerrero;135;IndonesiaRegion3;5
Paul Vang;209;Western SaharaRegion3;5
Krystal Ramsey;7;Lao People's Democratic RepublicRegion5;1
Victor Drake;106;BulgariaRegion1;3
Richard Smith;28;ChileRegion1;1
Judy Sullivan;38;SwazilandRegion5;1
Tyler Turner;71;Turks and Caicos IslandsRegion3;5
Timothy Smith;41;IcelandRegion4;1
Scott Kramer;110;Sao Tome and PrincipeRegion4;1
Darryl Byrd;8;KoreaRegion2;1
Gerald Hernandez;218;BurundiRegion4;3
Brittany Mcintosh;67;JapanRegion4;4
James King;188;YemenRegion4;4
Jordan Taylor;25;South AfricaRegion2;1
Linda Johnson;218;KoreaRegion1;5
Terry Gould;85;Christmas IslandRegion1;3
Michael Taylor;125;BulgariaRegion4;5
Jonathan Archer;113;United States of AmericaRegion1;1
Olivia Mullins;207;UruguayRegion1;5
Elizabeth Aguirre;176;Saint MartinRegion2;3
Alexandra Johnson;150;LebanonRegion2;4
Cynthia Sutton;179;BangladeshRegion3;2
Jennifer Ross;91;United States of AmericaRegion5;2
Michael Pena;119;TogoRegion5;5
Christine Scott;34;GuamRegion3;3
Julie Dominguez;155;SomaliaRegion3;1
Andrea Hall;56;ZimbabweRegion3;4
Sarah Hall;26;BeninRegion5;5
Miranda Moore DDS;1;SeychellesRegion2;1
Louis Valdez;69;EthiopiaRegion2;3
Rebecca Burns;146;Sao Tome and PrincipeRegion4;3
Robert Davis;96;ComorosRegion4;4
Adam Schneider;138;CameroonRegion4;1
Jessica Turner;157;NepalRegion5;1
Robert Mcconnell;118;KenyaRegion2;4
Sophia Robinson;169;United KingdomRegion2;4
Warren Nelson;110;BahamasRegion5;5
Robert Mayer;233;ParaguayRegion4;3
Amy Thornton;18;KoreaRegion4;3
Brianna Jenkins;113;BelgiumRegion1;3
Jose King;70;French GuianaRegion5;2
Victor Adams;139;MalawiRegion3;4
Steven Huber;159;TongaRegion1;3
Michelle Chavez;128;GuernseyRegion4;2
Ernest Lane;205;CongoRegion2;5
Jennifer Mcdonald;143;United States Virgin IslandsRegion4;4
Rachel Hudson;38;Palestinian TerritoryRegion5;1
Rachel Vang;166;BoliviaRegion1;5
Nicole Williams;218;OmanRegion1;5
Jordan Jones;188;KiribatiRegion2;5
James Snyder;21;VietnamRegion2;5
William Griffin;99;TaiwanRegion5;2
Shannon Cochran;105;Bosnia and HerzegovinaRegion5;5
Lisa Whitaker;166;ParaguayRegion1;3
Michael Murray;111;MaliRegion5;4
Anthony Alexander;58;GibraltarRegion1;3
Christopher Koch;137;NetherlandsRegion4;2
Lori Collins;218;SingaporeRegion3;4
Christopher Gonzalez;195;SloveniaRegion3;4
Alexis Bridges;114;TunisiaRegion1;3
Michelle Bailey;52;CubaRegion2;1
Samuel Ayers;15;Timor-LesteRegion1;4
Amy Jackson;108;PhilippinesRegion1;5
Abigail Gonzales;69;UkraineRegion2;1
Joann Cole MD;150;French Southern TerritoriesRegion1;3
Brian Bryan;31;QatarRegion5;5
Angela Perkins;10;ThailandRegion3;1
Grace Odonnell;29;SeychellesRegion1;1
Jill Wilson;41;IndonesiaRegion1;3
Sonya Clayton;157;TurkmenistanRegion1;3
Kim Chen;77;ItalyRegion1;2
Lisa Garcia;214;Sri LankaRegion2;5
Michael Hooper;49;Brunei DarussalamRegion5;3
Wesley Spencer;198;ComorosRegion4;5
Andrew Farrell;209;KenyaRegion4;3
Angela Wolf;112;Saint Kitts and NevisRegion1;2
Katrina Erickson;3;EgyptRegion5;4
Kelly Combs;87;BoliviaRegion4;3
Carolyn Thomas;135;Saint Pierre and MiquelonRegion2;4
Lauren Ross;13;FinlandRegion4;4
Donald Lam;53;GuatemalaRegion3;2
Leah Rodriguez;150;Pitcairn IslandsRegion3;4
Justin Smith;46;Libyan Arab JamahiriyaRegion1;1
Monica Hanson;12;BeninRegion2;1
John Sullivan;222;MontenegroRegion5;5
Lisa Gonzales;166;GhanaRegion2;3
Patricia Brown;215;Saint MartinRegion4;3
Andrew Coleman;210;TuvaluRegion1;2
Michael Berry;95;CroatiaRegion2;4
Alexander Anderson;53;Central African RepublicRegion1;1
Bridget Kim;109;SenegalRegion5;3
Samuel Morris;58;Cape VerdeRegion3;2
Suzanne Carter;1;DjiboutiRegion3;1
Lori Frye;32;United States of AmericaRegion2;1
Amy Thompson;145;Antigua and BarbudaRegion4;5
Jeff Garcia;16;Lao People's Democratic RepublicRegion5;4
Nicholas Roberts;1;MacedoniaRegion2;3
Hannah Nicholson;163;Saint Kitts and NevisRegion2;5
Daniel Hicks;205;FranceRegion2;1
Kelly Howard;233;VietnamRegion5;2
John Smith;109;CroatiaRegion5;2
Maria Tran;195;QatarRegion3;4
Charles Chambers;186;SwedenRegion3;1
Ryan Long;160;ChadRegion1;4
Steven Fuller;79;RwandaRegion4;2
Emily Andersen;179;American SamoaRegion2;2
Kathryn Wright;154;Central African RepublicRegion4;1
Thomas Miller;44;BeninRegion3;1
Erika Adams;17;MadagascarRegion3;1
Gloria Flores;56;JordanRegion3;3
Melissa Howard;43;IndiaRegion5;5
Lisa Williams;190;LatviaRegion5;4
Joseph Knight;153;Libyan Arab JamahiriyaRegion1;2
Thomas Williams;150;QatarRegion2;5
Michael Mcknight DVM;55;SenegalRegion1;5
Willie Hughes;200;IrelandRegion2;2
Tracy Hall;77;GuatemalaRegion1;2
David Carroll;233;New ZealandRegion3;2
Debra Hall;173;Guinea-BissauRegion4;5
Ashley Fletcher;131;BermudaRegion3;1
Jennifer Wade;85;DjiboutiRegion1;5
Andrew Powers;57;Pitcairn IslandsRegion4;4
Amanda Hernandez;132;AustraliaRegion3;3
Heather Patterson;7;Brunei DarussalamRegion2;5
Cindy Nixon;239;Cape VerdeRegion5;5
Brandon Bryant;221;EthiopiaRegion3;2
Dennis Brown;206;TajikistanRegion5;2
Sara Wood;59;BoliviaRegion5;3
